DRG Definition,Provider Id,Provider Name,Provider City,Provider State, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50128,TRI-CITY MEDICAL CENTER,OCEANSIDE,CA,26,"$52,977.92 ","$7,548.76 ","$6,598.30 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50133,RIDEOUT MEMORIAL HOSPITAL,MARYSVILLE,CA,27,"$45,246.74 ","$7,863.14 ","$6,946.70 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50168,ST JUDE MEDICAL CENTER,FULLERTON,CA,16,"$39,046.81 ","$6,710.81 ","$5,465.62 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50174,SANTA ROSA MEMORIAL HOSPITAL,SANTA ROSA,CA,16,"$82,480.75 ","$8,830.75 ","$7,773.50 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50179,EMANUEL MEDICAL CENTER INC,TURLOCK,CA,15,"$57,258.73 ","$7,714.13 ","$6,888.26 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,WALNUT CREEK,CA,20,"$85,165.10 ","$12,355.85 ","$6,776.50 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50197,SEQUOIA HOSPITAL,REDWOOD CITY,CA,19,"$94,693.84 ","$8,682.94 ","$6,084.89 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50222,SHARP CHULA VISTA MEDICAL CENTER,CHULA VISTA,CA,13,"$55,232.69 ","$8,104.38 ","$7,410.23 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,NEWPORT BEACH,CA,34,"$29,350.85 ","$6,511.29 ","$5,386.02 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50225,FEATHER RIVER HOSPITAL,PARADISE,CA,12,"$60,022.58 ","$7,122.00 ","$6,278.33 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50232,FRENCH HOSPITAL MEDICAL CENTER,SAN LUIS OBISPO,CA,18,"$64,419.66 ","$7,185.44 ","$6,249.22 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50235,PROVIDENCE SAINT JOSEPH MEDICAL CTR,BURBANK,CA,31,"$101,282.03 ","$8,294.93 ","$7,639.70 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50238,METHODIST HOSPITAL OF SOUTHERN CA,ARCADIA,CA,11,"$30,027.54 ","$7,733.00 ","$7,024.27 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50243,DESERT REGIONAL MEDICAL CENTER,PALM SPRINGS,CA,12,"$88,175.00 ","$8,766.83 ","$5,902.50 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50262,RONALD REAGAN UCLA MEDICAL CENTER,LOS ANGELES,CA,13,"$36,730.69 ","$11,899.76 ","$10,946.84 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50280,MERCY MEDICAL CENTER REDDING,REDDING,CA,75,"$48,567.22 ","$8,668.09 ","$7,251.45 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50290,SAINT JOHN'S HEALTH CENTER,SANTA MONICA,CA,22,"$26,209.54 ","$6,483.00 ","$5,512.63 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50291,SUTTER MEDICAL CENTER OF SANTA ROSA,SANTA ROSA,CA,17,"$43,000.11 ","$10,671.64 ","$9,880.11 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50295,MERCY HOSPITAL,BAKERSFIELD,CA,11,"$48,852.45 ","$7,049.09 ","$5,825.81 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50308,EL CAMINO HOSPITAL,MOUNTAIN VIEW,CA,12,"$59,465.00 ","$8,180.00 ","$7,339.00 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50309,SUTTER ROSEVILLE MEDICAL CENTER,ROSEVILLE,CA,13,"$41,204.23 ","$8,964.61 ","$5,847.00 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50334,SALINAS VALLEY MEMORIAL HOSPITAL,SALINAS,CA,17,"$53,860.17 ","$16,744.82 ","$7,051.05 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50351,TORRANCE MEMORIAL MEDICAL CENTER,TORRANCE,CA,17,"$30,510.29 ","$6,793.64 ","$5,009.94 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50360,MARIN GENERAL HOSPITAL,GREENBRAE,CA,32,"$62,077.71 ","$8,526.00 ","$7,540.50 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50380,GOOD SAMARITAN HOSPITAL,SAN JOSE,CA,17,"$69,223.47 ","$11,721.64 ","$7,132.82 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50382,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,COVINA,CA,17,"$42,287.47 ","$9,044.00 ","$7,859.88 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50390,HEMET VALLEY MEDICAL CENTER,HEMET,CA,19,"$36,866.31 ","$7,513.31 ","$6,508.89 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50394,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,VENTURA,CA,21,"$60,448.47 ","$6,967.23 ","$6,110.85 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50396,SANTA BARBARA COTTAGE HOSPITAL,SANTA BARBARA,CA,28,"$37,691.96 ","$7,533.50 ","$6,573.50 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50424,SCRIPPS GREEN HOSPITAL,LA JOLLA,CA,11,"$62,924.09 ","$7,309.81 ","$6,289.45 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50438,HUNTINGTON MEMORIAL HOSPITAL,PASADENA,CA,19,"$31,305.47 ","$7,804.00 ","$6,738.31 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50441,STANFORD HOSPITAL,STANFORD,CA,27,"$90,836.48 ","$12,396.29 ","$11,483.40 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50464,DOCTORS MEDICAL CENTER,MODESTO,CA,35,"$72,225.31 ","$8,882.77 ","$7,953.97 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50481,WEST HILLS HOSPITAL & MEDICAL CENTER,WEST HILLS,CA,16,"$64,346.68 ","$6,770.06 ","$5,718.81 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50485,LONG BEACH MEMORIAL MEDICAL CENTER,LONG BEACH,CA,23,"$51,813.13 ","$8,349.60 ","$5,585.21 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50496,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,CONCORD,CA,20,"$79,033.50 ","$8,485.00 ","$7,582.60 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50516,MERCY SAN JUAN MEDICAL CENTER,CARMICHAEL,CA,39,"$54,446.46 ","$9,882.15 ","$7,246.15 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50549,LOS ROBLES HOSPITAL & MEDICAL CENTER,THOUSAND OAKS,CA,11,"$56,328.90 ","$7,835.00 ","$6,914.63 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50551,LOS ALAMITOS MEDICAL CENTER,LOS ALAMITOS,CA,13,"$64,229.61 ","$6,719.38 ","$5,177.23 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50557,MEMORIAL  MEDICAL CENTER,MODESTO,CA,41,"$60,264.97 ","$7,457.39 ","$6,440.51 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50573,EISENHOWER MEDICAL CENTER,RANCHO MIRAGE,CA,53,"$50,977.01 ","$6,519.71 ","$5,129.47 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50599,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,SACRAMENTO,CA,13,"$146,892.00 ","$11,514.38 ","$9,758.30 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50603,SADDLEBACK MEMORIAL MEDICAL CENTER,LAGUNA HILLS,CA,14,"$44,761.50 ","$6,496.42 ","$5,533.00 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50625,CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,CA,40,"$72,784.00 ","$9,754.92 ","$7,705.97 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50701,SOUTHWEST HEALTHCARE SYSTEM,MURRIETA,CA,14,"$26,258.00 ","$7,244.28 ","$6,283.14 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50732,FRESNO HEART AND SURGICAL HOSPITAL,FRESNO,CA,66,"$20,227.66 ","$6,390.25 ","$5,352.77 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50757,ALVARADO HOSPITAL MEDICAL CENTER,SAN DIEGO,CA,15,"$31,017.06 ","$7,199.80 ","$6,249.06 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50761,PROVIDENCE TARZANA MEDICAL CENTER,TARZANA,CA,48,"$70,478.25 ","$7,174.89 ","$6,066.95 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50764,SHASTA REGIONAL MEDICAL CENTER,REDDING,CA,13,"$74,093.92 ","$7,852.00 ","$6,814.46 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,60001,NORTH COLORADO MEDICAL CENTER,GREELEY,CO,16,"$33,135.68 ","$8,359.12 ","$5,379.06 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,60013,MERCY REGIONAL MEDICAL CENTER,DURANGO,CO,11,"$26,928.54 ","$7,578.63 ","$6,658.27 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,60014,PRESBYTERIAN/ST LUKE'S MEDICAL CENTER,DENVER,CO,20,"$46,569.30 ","$7,570.95 ","$6,615.15 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,60020,PARKVIEW MEDICAL CENTER INC,PUEBLO,CO,33,"$37,752.30 ","$6,259.96 ","$5,077.21 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,60022,MEMORIAL HOSPITAL CENTRAL,COLORADO SPRING,CO,56,"$27,170.46 ","$6,627.89 ","$5,011.08 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,60023,ST MARYS HOSPITAL AND MEDICAL CENTER,GRAND JUNCTION,CO,38,"$22,619.02 ","$6,945.57 ","$5,914.73 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,60031,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,COLORADO SPRING,CO,17,"$33,369.76 ","$5,925.94 ","$4,999.35 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,60064,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,DENVER,CO,19,"$33,355.73 ","$6,119.68 ","$5,113.57 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,60100,"MEDICAL CENTER OF AURORA, THE",AURORA,CO,20,"$63,986.40 ","$8,613.80 ","$4,841.60 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,60119,MEDICAL CENTER OF THE ROCKIES,LOVELAND,CO,25,"$27,634.88 ","$6,517.68 ","$4,589.28 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,70001,HOSPITAL OF ST RAPHAEL,NEW HAVEN,CT,50,"$18,103.18 ","$8,099.68 ","$7,112.92 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,HARTFORD,CT,38,"$13,479.31 ","$8,025.13 ","$6,663.86 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,70010,BRIDGEPORT HOSPITAL,BRIDGEPORT,CT,14,"$27,697.57 ","$8,972.35 ","$7,870.85 "
