"DRGDefinition","ProviderId","ProviderName","ProviderCity","ProviderState","TotalDischarges","AverageCoveredCharges","AverageTotalPayments","AverageMedicarePayments"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50232","FRENCH HOSPITAL MEDICAL CENTER","SAN LUIS OBISPO","CA","18","64419.66","7185.44","6249.22"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50235","PROVIDENCE SAINT JOSEPH MEDICAL CTR","BURBANK","CA","31","101282.03","8294.93","7639.70"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50238","METHODIST HOSPITAL OF SOUTHERN CA","ARCADIA","CA","11","30027.54","7733.00","7024.27"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50243","DESERT REGIONAL MEDICAL CENTER","PALM SPRINGS","CA","12","88175.00","8766.83","5902.50"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50262","RONALD REAGAN UCLA MEDICAL CENTER","LOS ANGELES","CA","13","36730.69","11899.76","10946.84"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50280","MERCY MEDICAL CENTER REDDING","REDDING","CA","75","48567.22","8668.09","7251.45"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50290","SAINT JOHNS HEALTH CENTER","SANTA MONICA","CA","22","26209.54","6483.00","5512.63"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50291","SUTTER MEDICAL CENTER OF SANTA ROSA","SANTA ROSA","CA","17","43000.11","10671.64","9880.11"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50295","MERCY HOSPITAL","BAKERSFIELD","CA","11","48852.45","7049.09","5825.81"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50308","EL CAMINO HOSPITAL","MOUNTAIN VIEW","CA","12","59465.00","8180.00","7339.00"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50309","SUTTER ROSEVILLE MEDICAL CENTER","ROSEVILLE","CA","13","41204.23","8964.61","5847.00"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50334","SALINAS VALLEY MEMORIAL HOSPITAL","SALINAS","CA","17","53860.17","16744.82","7051.05"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50351","TORRANCE MEMORIAL MEDICAL CENTER","TORRANCE","CA","17","30510.29","6793.64","5009.94"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50360","MARIN GENERAL HOSPITAL","GREENBRAE","CA","32","62077.71","8526.00","7540.50"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50380","GOOD SAMARITAN HOSPITAL","SAN JOSE","CA","17","69223.47","11721.64","7132.82"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50382","CITRUS VALLEY MEDICAL CENTER-IC CAMPUS","COVINA","CA","17","42287.47","9044.00","7859.88"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50390","HEMET VALLEY MEDICAL CENTER","HEMET","CA","19","36866.31","7513.31","6508.89"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50394","COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA","VENTURA","CA","21","60448.47","6967.23","6110.85"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50396","SANTA BARBARA COTTAGE HOSPITAL","SANTA BARBARA","CA","28","37691.96","7533.50","6573.50"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50424","SCRIPPS GREEN HOSPITAL","LA JOLLA","CA","11","62924.09","7309.81","6289.45"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50438","HUNTINGTON MEMORIAL HOSPITAL","PASADENA","CA","19","31305.47","7804.00","6738.31"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50441","STANFORD HOSPITAL","STANFORD","CA","27","90836.48","12396.29","11483.40"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50464","DOCTORS MEDICAL CENTER","MODESTO","CA","35","72225.31","8882.77","7953.97"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50481","WEST HILLS HOSPITAL  and  MEDICAL CENTER","WEST HILLS","CA","16","64346.68","6770.06","5718.81"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50485","LONG BEACH MEMORIAL MEDICAL CENTER","LONG BEACH","CA","23","51813.13","8349.60","5585.21"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50496","JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS","CONCORD","CA","20","79033.50","8485.00","7582.60"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50516","MERCY SAN JUAN MEDICAL CENTER","CARMICHAEL","CA","39","54446.46","9882.15","7246.15"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50549","LOS ROBLES HOSPITAL  and  MEDICAL CENTER","THOUSAND OAKS","CA","11","56328.90","7835.00","6914.63"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50551","LOS ALAMITOS MEDICAL CENTER","LOS ALAMITOS","CA","13","64229.61","6719.38","5177.23"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50557","MEMORIAL  MEDICAL CENTER","MODESTO","CA","41","60264.97","7457.39","6440.51"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50573","EISENHOWER MEDICAL CENTER","RANCHO MIRAGE","CA","53","50977.01","6519.71","5129.47"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50599","UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER","SACRAMENTO","CA","13","146892.00","11514.38","9758.30"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50603","SADDLEBACK MEMORIAL MEDICAL CENTER","LAGUNA HILLS","CA","14","44761.50","6496.42","5533.00"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50625","CEDARS-SINAI MEDICAL CENTER","LOS ANGELES","CA","40","72784.00","9754.92","7705.97"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50701","SOUTHWEST HEALTHCARE SYSTEM","MURRIETA","CA","14","26258.00","7244.28","6283.14"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50732","FRESNO HEART AND SURGICAL HOSPITAL","FRESNO","CA","66","20227.66","6390.25","5352.77"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50757","ALVARADO HOSPITAL MEDICAL CENTER","SAN DIEGO","CA","15","31017.06","7199.80","6249.06"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50761","PROVIDENCE TARZANA MEDICAL CENTER","TARZANA","CA","48","70478.25","7174.89","6066.95"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50764","SHASTA REGIONAL MEDICAL CENTER","REDDING","CA","13","74093.92","7852.00","6814.46"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","60001","NORTH COLORADO MEDICAL CENTER","GREELEY","CO","16","33135.68","8359.12","5379.06"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","60013","MERCY REGIONAL MEDICAL CENTER","DURANGO","CO","11","26928.54","7578.63","6658.27"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","60014","PRESBYTERIAN/ST LUKES MEDICAL CENTER","DENVER","CO","20","46569.30","7570.95","6615.15"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","60020","PARKVIEW MEDICAL CENTER INC","PUEBLO","CO","33","37752.30","6259.96","5077.21"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","60022","MEMORIAL HOSPITAL CENTRAL","COLORADO SPRING","CO","56","27170.46","6627.89","5011.08"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","60023","ST MARYS HOSPITAL AND MEDICAL CENTER","GRAND JUNCTION","CO","38","22619.02","6945.57","5914.73"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","60031","CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES","COLORADO SPRING","CO","17","33369.76","5925.94","4999.35"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","60064","CENTURA HEALTH-PORTER ADVENTIST HOSPITAL","DENVER","CO","19","33355.73","6119.68","5113.57"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","60100","MEDICAL CENTER OF AURORA, THE","AURORA","CO","20","63986.40","8613.80","4841.60"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","60119","MEDICAL CENTER OF THE ROCKIES","LOVELAND","CO","25","27634.88","6517.68","4589.28"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","70001","HOSPITAL OF ST RAPHAEL","NEW HAVEN","CT","50","18103.18","8099.68","7112.92"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","70002","ST FRANCIS HOSPITAL  and  MEDICAL CENTER","HARTFORD","CT","38","13479.31","8025.13","6663.86"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","70010","BRIDGEPORT HOSPITAL","BRIDGEPORT","CT","14","27697.57","8972.35","7870.85"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","70012","ROCKVILLE GENERAL HOSPITAL","ROCKVILLE","CT","11","16060.63","6675.90","5967.18"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","70016","SAINT MARYS HOSPITAL","WATERBURY","CT","22","21229.09","7907.18","6657.90"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","70017","MIDSTATE MEDICAL CENTER","MERIDEN","CT","19","18847.68","7002.68","6056.15"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","70018","GREENWICH HOSPITAL ASSOCIATION","GREENWICH","CT","15","38982.66","7268.13","6519.86"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","70020","MIDDLESEX HOSPITAL","MIDDLETOWN","CT","29","20848.20","8417.00","5762.82"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","70022","YALE-NEW HAVEN HOSPITAL","NEW HAVEN","CT","23","27901.34","9685.26","8252.26"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","70024","WILLIAM W BACKUS HOSPITAL","NORWICH","CT","24","16739.37","7333.66","5695.79"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","70025","HARTFORD HOSPITAL","HARTFORD","CT","57","23753.66","8891.61","7524.05"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","70028","ST VINCENTS MEDICAL CENTER","BRIDGEPORT","CT","20","17413.75","7815.20","6917.60"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","70033","DANBURY HOSPITAL","DANBURY","CT","34","21274.47","7875.05","6294.47"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","70034","NORWALK HOSPITAL ASSOCIATION","NORWALK","CT","16","22336.68","8566.43","6469.56"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","70035","HOSPITAL OF CENTRAL CONNECTICUT, THE","NEW BRITAIN","CT","12","19812.50","7623.25","6871.25"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","80001","CHRISTIANA CARE HEALTH SERVICES, INC.","NEWARK","DE","90","14336.66","7494.76","6071.21"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","80004","BAYHEALTH - KENT GENERAL HOSPITAL","DOVER","DE","13","18353.30","6672.69","5550.53"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","80007","BEEBE MEDICAL CENTER","LEWES","DE","41","39209.60","7217.19","5536.21"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","90001","GEORGE WASHINGTON UNIV HOSPITAL","WASHINGTON","DC","11","57137.45","10582.81","8871.00"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","90004","GEORGETOWN UNIVERSITY HOSPITAL","WASHINGTON","DC","14","48336.14","9479.57","8680.14"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","90011","WASHINGTON HOSPITAL CENTER","WASHINGTON","DC","22","36636.04","8419.54","6781.31"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","100002","BETHESDA MEMORIAL HOSPITAL","BOYNTON BEACH","FL","23","40686.73","6523.78","5339.82"
